,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,CLOSEST_CIRCLE_DIST,CLOSEST_CIRCLE_INDEX
94305,-122.31663634264763,47.65909486599134,95306,111361,111361,3210728,Matched,Block,,11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,,,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2010-12-28T00:00:00.000Z,12/28/2010 4:55:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Overcast,Dry,Unknown,,10362006.0,,13,From same direction - both going straight - both moving - rear-end,0,0,N,118.45785522624806,899
2380,-122.30292070084379,47.585020154303706,3381,16664,16664,3671809,Matched,Block,,23RD AVE S BETWEEN S PLUM ST AND RAINIER AVE S, ,,1,Property Damage Only Collision,Rear Ended,0,0,0,2,0,0,0,2013-04-08T00:00:00.000Z,4/8/2013 7:50:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Overcast,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,181.1516547515435,545
50677,-122.34912576925049,47.71958391399468,50678,65040,65040,2795880,Matched,Block,,N 125TH ST BETWEEN NORTH PARK AVE N AND INTERURBAN TRL,,,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2007-06-16T00:00:00.000Z,6/16/2007 7:10:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,7167022.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,219.35773383164374,985
24580,-122.39615734649072,47.53885811855268,24581,38960,38960,1476689,Matched,Block,,BEACH DR SW BETWEEN 48TH AVE SW AND DEAD END,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2005-05-03T00:00:00.000Z,5/3/2005,Driveway Junction,28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,1,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,5123002.0,Y,50,Fixed object,0,0,N,1125.2646073301705,51
172087,-122.32947824614278,47.54380672723959,169088,214138,214398,E514885,Matched,Block,,EAST MARGINAL WAY S BETWEEN 4TH AVE S AND S RIVER ST, ,,2,Injury Collision,Angles,2,0,0,2,1,0,0,2016-02-12T00:00:00.000Z,2/12/2016 9:33:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,10,Entering at angle,0,0,N,623.2726167689964,789
2285,-122.34669611497443,47.64225520257651,3286,17085,17085,1480523,Matched,Block,,HALLADAY ST BETWEEN AURORA AVE N AND BIRCH AVE N,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2004-09-22T00:00:00.000Z,9/22/2004 6:53:00 AM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,4266005.0,,74,Same direction -- both turning right -- one stopped -- rear end,0,0,N,335.1422185314479,607
144966,-122.3582658575667,47.63838322165759,142967,164617,164637,3643689,Matched,Intersection,27824.0,1ST AVE W AND W BOSTON ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2014-03-19T00:00:00.000Z,3/19/2014 3:35:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,337.87431001762866,426
92322,-122.31277145484923,47.61449898544244,92323,106370,106370,3283545,Matched,Intersection,30136.0,15TH AVE AND E MADISON ST,,,2,Injury Collision,Left Turn,2,0,0,2,1,0,0,2009-06-30T00:00:00.000Z,6/30/2009 2:50:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,9181029.0,,28,From opposite direction - one left turn - one straight,0,0,N,42.95647443059479,79
178186,-122.3458609205317,47.68694144320532,178187,231957,232357,3762266,Unmatched,Block,,N 80TH ST BETWEEN LINDEN AVE N AND AURORA AVE N, ,,1,Property Damage Only Collision,,3,0,0,0,0,0,0,2016-11-08T00:00:00.000Z,11/8/2016,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N,313.79995829745565,679
32377,-122.35195761825642,47.69240834698381,30378,44611,44611,2022919,Matched,Block,,N 87TH ST BETWEEN DAYTON AVE N AND EVANSTON AVE N,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2005-04-22T00:00:00.000Z,4/22/2005 6:00:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Daylight,,5112006.0,,32,One parked--one moving,0,0,N,49.76434952378354,443
