X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
-122.333700032180104,47.667219337815347,1001,7099,1270754.10104,246984.69803,25515,13,13317,LKUN-NW,MERIDIAN AVE N AND N 53RD ST,3, ,NONE,-122.333700033533,47.6672193377974
-122.332365251982921,47.555651963418931,1002,15773,1270290.26258,206290.10753,33144,13,64506,GRDWM,2ND AVE S AND S DAWSON ST,0, ,NONE,-122.332365253333,47.555651963401
-122.304688115018891,47.623205560002688,1003,11060,1277594.28486,230794.91062,29352,13,37714,CNTRL-E,21ST AVE E AND E REPUBLICAN ST,0, ,NONE,-122.304688116371,47.6232055599851
-122.330703522837425,47.650214882621661,1004,8850,1271371.61298,240768.8506,27285,13,23739,LKUN,SUNNYSIDE AVE N AND DEAD END 1,0, ,NONE,-122.33070352419,47.6502148826038
-122.317970583298603,47.637244332727526,1005,9946,1274418.14124,235977.72049,28256,13,30329,E,11TH AVE E AND E NEWTON ST,0, ,NONE,-122.317970584651,47.6372443327098
-122.392755787944381,47.526783364670052,1006,17891,1255167.85258,196058.31846,34786,13,75523,SW,FAUNTLEROY WAY SW AND SW CLOVERDALE ST,2, ,HALFPED,-122.392755789293,47.5267833646514
-122.326222157037918,47.724960687865938,1007,2813,1273004.83922,268007.00257,35962,13,220718,NW,3RD AVE NE AND NE 133RD ST,0, ,NONE,-122.326222158392,47.7249606878481
-122.344660793732757,47.654125696826981,1008,8517,1267960.12779,242262.35,26866,13,22311,LKUN,WOODLAND PARK AVE N AND N 39TH ST,0, ,NONE,-122.344660795085,47.6541256968089
-122.341019855515427,47.627133784102206,1009,10734,1268664.41886,232400.92099,28732,13,35125,MGNL-QA,8TH AVE N AND ALOHA ST,0, ,NONE,-122.341019856867,47.6271337840842
-122.350114062754315,47.706883885665974,1010,3632,1266995.65368,261529.44787,36414,13,225726,NW,FREMONT AVE N AND N 107TH N ST,0, ,NONE,-122.350114064108,47.7068838856479
-122.302870757348202,47.553781403095165,1011,15977,1277558.83423,205467.45741,33351,13,65701,GRDWM,BEACON WR AVE S AND S BRANDON ST,2, ,NONE,-122.302870758698,47.5537814030776
-122.311615925484077,47.715781425735962,1012,3229,1276534.79046,264589.93786,36715,13,227529,N,PINEHURST WAY NE AND NE 120TH ST,0, ,NONE,-122.311615926838,47.7157814257183
-122.314968108307355,47.523042181245835,1013,18229,1274356.26578,194314.22092,35126,13,78313,GRDWM,14TH AVE S AND S HENDERSON ST,1, ,CITY,-122.314968109656,47.5230421812281
-122.355627500734016,47.634807177872901,1014,10121,1265118.42385,235270.26832,28152,13,29755,MGNL-QA,1ST AVE N AND BLAINE ST,0, ,NONE,-122.355627502086,47.6348071778547
-122.295979923767078,47.693105152897658,1015,4713,1280225.9536,256246.34643,37664,13,234324,NE,30TH AVE NE AND NE 89TH ST,0, ,NONE,-122.295979925121,47.6931051528802
-122.368881934200402,47.643582651139376,1016,9282,1261915.04516,238535.54065,27891,13,28543,MGNL-QA,9TH AVE W AND W BOTHWELL ST,0, ,NONE,-122.368881935553,47.643582651121
-122.325886811959236,47.643190642572897,1017,9374,1272508.91064,238184.07031,28300,13,30515,LKUN,EASTLAKE AVE E AND E ROANOKE ST,1, ,CITY,-122.325886813311,47.6431906425551
-122.392754277999458,47.515273482111496,1018,18673,1255083.15651,191860.77145,38057,13,300517,SW,47TH AVE SW AND SW 98TH ST,0, ,NONE,-122.392754279348,47.5152734820929
-122.287918103735805,47.713733510025385,1019,3342,1282353.23219,263731.90522,36814,13,228520,N,38TH AVE NE AND NE 117TH W ST,0, ,NONE,-122.28791810509,47.713733510008
-122.317152889771663,47.557909324239773,1020,15609,1274061.75877,207040.56718,33078,13,64121,GRDWM,12TH AVE S AND S SHELTON ST,0, ,NONE,-122.317152891122,47.5579093242221
-122.270432961938866,47.53764262519659,1021,17225,1285457.49971,199430.36454,34469,13,73322,SE,RAINIER AVE S AND S GARDEN ST,1, ,NONE,-122.270432963288,47.5376426251794
-122.285119448310567,47.630980247492531,1022,10493,1282472.65619,233538.69687,29415,13,38518,E,E LEE ST AND E MADISON ST,2, ,NONE,-122.285119449662,47.6309802474752
-122.304341245413298,47.600316112491591,1023,12530,1277520.22457,222445.52668,30767,13,45558,CNTRL,S MAIN ST AND DEAD END 4,0, ,NONE,-122.304341246764,47.600316112474
-122.364521672925861,47.675990287128485,1024,6133,1263224.86404,250332.98066,25250,13,12112,BLRD-NW,7TH AVE NW AND NW 65TH E ST,2, ,NONE,-122.364521674279,47.6759902871102
-122.295177363618222,47.572510035397627,1025,14401,1279588.01824,212261.59323,32429,13,58136,SE,CLAREMONT AVE S AND S WALDEN ST,0, ,NONE,-122.295177364969,47.5725100353802
-122.307312293543802,47.588417671404748,1026,13184,1276704.23583,218120.21135,31519,13,52506,GRDWM,VALENTINE PL S AND S MASSACHUSETTS ST,3, ,NONE,-122.307312294895,47.5884176713871
-122.393009229883447,47.638841595679352,1027,9728,1255933.60259,236926.12164,27681,13,27704,MGNL-QA,28TH AVE W AND W LYNN S ST,3, ,NONE,-122.393009231235,47.6388415956607
-122.373941552268192,47.526472120879916,1028,17936,1259812.93367,195851.19347,34930,13,76516,DLRD,32ND AVE SW AND SW CLOVERDALE ST,0, ,NONE,-122.373941553617,47.5264721208615
-122.312544556386342,47.628696445746748,1029,10641,1275695.69337,232834.56451,28957,13,36117,E,15TH AVE E AND E PROSPECT N ST,2, ,NONE,-122.312544557738,47.6286964457291
-122.362067147744241,47.701727486016956,1030,3958,1264015.9107,259707.16665,37121,13,231128,NW,4TH AVE NW AND HOLMAN RD NW,1, ,NONE,-122.362067149098,47.7017274859987
-122.282139570236595,47.66855734835336,1031,7042,1283465.30413,247229.2556,26219,13,16537,NE,43RD AVE NE AND NE 55TH ST,3, ,NONE,-122.282139571589,47.668557348336
-122.321394321619252,47.584571681989935,1032,13430,1273202.72389,216784.46351,31272,13,51253,GRDWM,AIRPORT WAY S AND S HILL ST,1, ,NONE,-122.32139432297,47.5845716819722
-122.331146081419448,47.605839163376132,1033,12178,1270947.52927,224587.31382,29954,13,40752,DWNTN,5TH AVE AND MARION ST,2, ,CITY,-122.331146082771,47.6058391633583
-122.344506963796462,47.687665446323741,1034,5104,1268238.25618,254493.40306,24277,13,4516,NW,AURORA AVE N AND N 81ST ST,1, ,NONE,-122.34450696515,47.6876654463057
-122.321348785688357,47.641353189447848,1035,9572,1273614.41541,237492.29406,28222,13,30147,E,BROADWAY E AND E MILLER ST,0, ,NONE,-122.32134878704,47.6413531894301
-122.319439813273348,47.723079733044045,1036,2892,1274660.57145,267288.71341,35884,13,220320,N-NW,NE 130TH ST AND DEAD END 1,0, ,NONE,-122.319439814628,47.7230797330263
-122.295059891260664,47.560862110424871,1037,15387,1279536.31392,208013.05409,32501,13,58385,GRDWM,S ALASKA PL AND S ALASKA ST,1, ,NONE,-122.295059892611,47.5608621104074
-122.322085903596403,47.612735748439135,1038,11768,1273230.80863,227059.11081,29756,13,40132,E,HARVARD AVE AND SENECA ST,2, ,NONE,-122.322085904948,47.6127357484214
-122.336499555897703,47.695959393023507,1039,4434,1270269.19327,257479.55449,37332,13,232316,NW,WALLINGFORD AVE N AND N 92ND ST,2, ,NONE,-122.336499557251,47.6959593930055
-122.293673945845995,47.60847710346394,1040,12043,1280208.00723,225371.71548,30068,13,41328,CNTRL,30TH AVE AND E ARLINGTON PL,0, ,NONE,-122.293673947197,47.6084771034465
-122.289555920360357,47.624943100667508,1041,10950,1281337.28774,231357.61578,29447,13,38559,E,33RD AVE E AND E MERCER ST,0, ,NONE,-122.289555921712,47.6249431006501
-122.37392573053684,47.511855058862032,1042,18943,1259710.11204,190520.39206,38096,13,301529,SW,33RD AVE SW AND SW 102ND W ST,0, ,NONE,-122.373925731886,47.5118550588437
-122.30587785417255,47.717540743206037,1043,3142,1277959.33292,265204.48148,36708,13,227522,N,22ND AVE NE AND NE 123RD ST,0, ,NONE,-122.305877855527,47.7175407431884
-122.374087639862992,47.683245151601298,1044,5445,1260921.6835,253025.81087,24160,13,3710,BLRD,14TH AVE NW AND NW 75TH W ST,0, ,NONE,-122.374087641216,47.6832451515829
-122.298262673778325,47.538385683372638,1045,17164,1278589.62847,199830.96307,34369,13,72451,GRDWM,MILITARY RD S AND DEAD END 1,0, ,NONE,-122.298262675128,47.5383856833552
-122.360081145967669,47.571834851352207,1046,14382,1263564.91422,212326.42907,270152,13,55271,SW,CHELAN SR AVE SW AND DELRIDGE WAY SW,1, ,NONE,-122.360081147318,47.571834851334
-122.317802129096989,47.657514224808736,1047,8168,1274602.27845,243369.30245,27093,13,23133,NE,ROOSEVELT WAY NE AND NE 42ND S ST,1, ,CITY,-122.31780213045,47.657514224791
-122.31993419683063,47.681477094224967,1048,5667,1274245.78258,252118.65029,24514,13,5456,NE,NE 73RD ST OFF RP AND NE LAKE CITY WY OFF RP,5, ,NONE,-122.319934198184,47.6814770942072
-122.369587611044267,47.717864744210871,1049,3089,1262281.98635,265629.19904,36272,13,224502,NW,10TH AVE NW AND NW 122ND ST,0, ,NONE,-122.369587612398,47.7178647441925
-122.288758480693588,47.576960416292131,1050,14001,1281202.90848,213854.6157,30871,13,46731,SE,35TH AVE S AND S MOUNT BAKER EB BV,3, ,NONE,-122.288758482044,47.5769604162748
-122.316067909369991,47.561696723694837,1051,15317,1274356.22329,208416.65806,32317,13,57346,GRDWM,13TH AVE S AND S SNOQUALMIE ST,0, ,NONE,-122.31606791072,47.5616967236771
-122.363402721382812,47.702746185911181,1052,3893,1263694.50014,260085.21593,37139,13,231254,NW,6TH AVE NW AND NW 100TH PL,3, ,NONE,-122.363402722736,47.7027461858929
-122.385494352841789,47.557488540448247,1053,15562,1257187.40023,207219.94458,32771,13,61112,SW,42ND AVE SW AND SW HUDSON ST,0, ,NONE,-122.385494354192,47.5574885404297
-122.397171429083983,47.634459795297346,1054,10094,1254875.22282,235348.94481,27736,13,27766,MGNL-QA,31ST AVE W AND W HAYES ST,0, ,NONE,-122.397171430436,47.6344597952787
-122.355306825436642,47.681053750674216,1055,5662,1265531.07128,252134.5694,24320,13,4709,NW,GREENWOOD AVE N AND N 72ND N ST,2, ,NONE,-122.35530682679,47.6810537506561
-122.359262714310987,47.667290582994966,1056,7068,1264457.2634,247134.51743,25322,13,12322,NW,2ND AVE NW AND NW 53RD W ST,0, ,NONE,-122.359262715664,47.6672905829768
-122.334901615442533,47.534706821949939,1057,17367,1269515.02546,198663.71827,34114,13,70463,DLRD,2ND AV SW OFF RP AND SR509 SB,1, ,NONE,-122.334901616792,47.534706821932
-122.283546653940491,47.710159309030431,1058,3523,1283404.62214,262408.07878,36836,13,228712,N,ALTON AVE NE AND NE 113TH ST,0, ,NONE,-122.283546655294,47.7101593090131
-122.269576754879239,47.668498362750718,1059,7062,1286559.72026,247149.72536,26141,13,16302,NE,NE 55TH ST AND DEAD END 2,0, ,NONE,-122.269576756232,47.6684983627336
-122.355322384423204,47.677781471745853,1060,6000,1265503.63448,250941.26252,24350,13,4739,NW,GREENWOOD AVE N AND N 67TH ST,0, ,NONE,-122.355322385776,47.6777814717277
-122.314471796238038,47.65420909369471,1061,8543,1275399.66162,242148.11435,287158,13,23470,NE,BROOKLYN AVE NE AND BURKE GILMAN TRL,0, ,NONE,-122.31447179759,47.654209093677
-122.320748740788673,47.605226817349191,1062,12221,1273507.62936,224314.2486,29818,13,40346,E,BROADWAY AND TERRACE ST,2, ,NONE,-122.32074874214,47.6052268173314
-122.349487748782934,47.645709770993605,1063,9134,1266710.23441,239216.50449,28058,13,29514,MGNL-QA,4TH AVE N AND DEXTER S AVE N,2, ,NONE,-122.349487750135,47.6457097709755
-122.370466777538738,47.645031122292664,1064,9154,1261534.99729,239071.58647,27880,13,28527,MGNL-QA,10TH PL W AND W ARMOUR ST,0, ,NONE,-122.370466778891,47.6450311222743
-122.314888389129123,47.693085150173275,1065,4691,1275569.99429,256328.12332,37535,13,233326,N,12TH AVE NE AND NE 89TH ST,0, ,NONE,-122.314888390483,47.6930851501556
-122.324470010560759,47.64914848755754,1066,8928,1272900.20844,240350.10884,27277,13,23728,LKUN,FAIRVIEW AVE E AND E ALLISON ST,0, ,NONE,-122.324470011913,47.6491484875397
-122.307310946278733,47.730247047571211,1067,2596,1277695.39692,269845.22234,36091,13,221521,N,20TH AVE NE AND NE 140TH ST,0, ,NONE,-122.307310947633,47.7302470475536
-122.327555140891732,47.61030093306438,1068,11905,1271864.8021,226197.28579,29908,13,40704,E,SENECA ST AND TERRY AVE,2, ,NONE,-122.327555142243,47.6103009330465
-122.276940936321182,47.526119046332887,1069,18042,1283771.39258,195257.79264,35253,13,80154,SE,RENTON AVE S AND S CLOVERDALE ST,2, ,CITY,-122.27694093767,47.5261190463157
-122.392434921494328,47.586867313060992,1070,13204,1255691.09738,217968.73256,31142,13,48652,SW,SW HOLGATE ST AND DEAD END 1,0, ,NONE,-122.392434922845,47.5868673130424
-122.356881656009989,47.644965514843491,1071,9196,1264882.62456,238981.07153,27771,13,28115,MGNL-QA,ARMOUR ST AND QUEEN ANNE AVE N,0, ,NONE,-122.356881657362,47.6449655148253
-122.318624456441228,47.632289958552384,1072,10373,1274222.08876,234173.98314,28945,13,36102,E,E GALER ST AND DEAD END,0, ,NONE,-122.318624457793,47.6322899585346
-122.373610836500859,47.65551366397947,1073,8281,1260836.65975,242909.98622,26726,13,21520,MGNL-QA,13TH AVE W AND W NICKERSON ST,1, ,NONE,-122.373610837853,47.6555136639611
-122.356536051655127,47.670294311774931,1074,6757,1265150.65732,248216.6517,25287,13,12151,NW,PALATINE PL N AND N 57TH ST,0, ,NONE,-122.356536053008,47.6702943117567
-122.379336901907749,47.525412909273868,1075,18004,1258472.44266,195491.63865,34712,13,75161,SW,37TH AVE SW AND SW DONOVAN ST,0, ,NONE,-122.379336903257,47.5254129092554
-122.268791380694836,47.531094698501661,1076,17717,1285818.36935,197034.75878,35408,13,81503,SE,WOLCOTT AVE S AND DEAD END 1 ,0, ,NONE,-122.268791382044,47.5310946984845
-122.350175441774866,47.710515891305938,1077,3464,1267006.65579,262854.32237,36397,13,225709,NW,FREMONT AVE N AND N 112TH ST,0, ,NONE,-122.350175443129,47.7105158912878
-122.302309216303001,47.579171056650893,1078,13821,1277874.24441,214724.37877,31673,13,52787,GRDWM,S LANDER ST AND DEAD END 1 ,0, ,NONE,-122.302309217654,47.5791710566334
-122.327196985918548,47.664997197970898,1079,7306,1272340.39608,246143.1203,25870,13,14725,LKUN-NW,2ND AVE NE AND NE 50TH ST,1, ,NONE,-122.327196987271,47.6649971979531
-122.376155670741127,47.568000761409266,1080,14842,1259569.68375,211007.2987,31874,13,54301,SW,35TH AVE SW AND SW ANDOVER S ST,3, ,NONE,-122.376155672091,47.5680007613909
-122.328959016066619,47.662611378478402,1081,7574,1271889.38808,245281.45195,25879,13,14735,LKUN,EASTERN AVE N AND N 46TH ST,0, ,NONE,-122.328959017419,47.6626113784605
-122.319035587809068,47.625356836336671,1082,10870,1274071.91762,231647.44823,28983,13,36143,E,FEDERAL AVE E AND E ROY ST,0, ,NONE,-122.319035589161,47.6253568363189
-122.325215905595556,47.634865924174541,1083,10148,1272615.40204,235144.86442,28329,13,30719,LKUN,EASTLAKE AVE E AND E BLAINE ST,1, ,NONE,-122.325215906947,47.6348659241567
-122.264407404512454,47.558273523937224,1084,15642,1287085.55552,206926.757,33665,13,67509,SE,55TH AVE S AND S FERDINAND ST,0, ,NONE,-122.264407405862,47.5582735239202
